beer_id,beer_name,brewery_name,link,style,ba_score,ba_score_text,ratings_count,bro_score,bro_score_text,reviews_count,rating_avg,pdev,wants,gots,ft,location,abv,availability
21154_57481,"Wild Night Honey Cream Ale","Swamp Head Brewery","/beer/profile/21154/57481/","Cream Ale",79,"okay",91,-,"no score",21,3.47,14.7,2,8,1,"Florida,United States",5.90,"Year-round"
23347_65004,"Grazias","Mike Hess Brewing","/beer/profile/23347/65004/","Cream Ale",83,"good",89,-,"no score",15,3.65,12.05,0,18,1,"California,United States",5.50,"Year-round"
28178_137975,"Cinnamon Beer-D Os","Pipeworks Brewing Company","/beer/profile/28178/137975/","Cream Ale",85,"very good",87,-,"no score",10,3.76,11.17,9,13,2,"Illinois,United States",10.00,"Rotating"
29745_84520,"The Lawn Ranger Cream Ale","Cedar Creek Brewery","/beer/profile/29745/84520/","Cream Ale",80,"good",85,90,"outstanding",11,3.52,14.77,2,11,0,"Texas,United States",5.00,"Year-round"
2446_25101,"Farmer Ted's Cream Ale","Catawba Brewing Co.","/beer/profile/2446/25101/","Cream Ale",79,"okay",83,76,"okay",25,3.47,11.53,6,13,0,"North Carolina,United States",5.60,"Year-round"
29021_84788,"Croydon Cream Ale","Neshaminy Creek Brewing Company","/beer/profile/29021/84788/","Cream Ale",78,"okay",83,-,"no score",21,3.4,13.82,1,18,0,"Pennsylvania,United States",4.40,"Year-round"
11036_81577,"Carolina Strawberry","Foothills Brewing Company","/beer/profile/11036/81577/","Cream Ale",76,"okay",82,-,"no score",11,3.25,20.92,0,17,0,"North Carolina,United States",4.30,"Year-round"
13307_57591,"Cream Ale","Mikkeller ApS","/beer/profile/13307/57591/","Cream Ale",84,"good",82,-,"no score",35,3.7,10.54,6,7,0,"Denmark",5.00,"Rotating"
3912_8442,"Cream Ale","Cameron's Brewing Co.","/beer/profile/3912/8442/","Cream Ale",75,"okay",82,-,"no score",45,3.19,13.79,1,9,0,"Ontario,Canada",5.00,"Year-round"
3268_81947,"Kite Tail Summer Ale","O'Fallon Brewery","/beer/profile/3268/81947/","Cream Ale",75,"okay",80,-,"no score",20,3.22,16.15,1,3,0,"Missouri,United States",4.50,"Year-round"
793_8511,"Coon Rock Cream Ale","Lake Louie Brewery Company","/beer/profile/793/8511/","Cream Ale",80,"good",79,-,"no score",50,3.51,15.1,2,4,0,"Wisconsin,United States",5.70,"Year-round"
1398_47457,"Cream Ale","Empire Brewing Company","/beer/profile/1398/47457/","Cream Ale",82,"good",75,-,"no score",16,3.61,16.62,2,13,0,"New York,United States",5.20,"Rotating"
13602_30758,"Omalley's Irish Cream Ale","Weston Brewing Company & O'Malley's Pub","/beer/profile/13602/30758/","Cream Ale",72,"okay",73,-,"no score",25,3.03,22.77,0,10,0,"Missouri,United States",ABV ,"Year-round"
2675_43433,"Slipstream Cream Ale","Phillips Brewing Company","/beer/profile/2675/43433/","Cream Ale",83,"good",67,-,"no score",19,3.64,10.71,2,12,0,"British Columbia,Canada",5.00,"Rotating"
14400_60400,"Nuptiale Cream Ale","Ninkasi Brewing Company","/beer/profile/14400/60400/","Cream Ale",83,"good",67,-,"no score",23,3.65,12.6,3,8,0,"Oregon,United States",5.70,"Rotating"
18680_83838,"Outboard","Milwaukee Brewing Company","/beer/profile/18680/83838/","Cream Ale",77,"okay",65,-,"no score",9,3.32,15.06,0,9,0,"Wisconsin,United States",5.00,"Year-round"
29419_83198,"Newburgh Cream Ale","Newburgh Brewing Company","/beer/profile/29419/83198/","Cream Ale",83,"good",65,93,"outstanding",6,3.69,13.01,6,13,0,"New York,United States",4.20,"Year-round"
29377_117978,"Anthem Golden Ale","Union Craft Brewing Company","/beer/profile/29377/117978/","Cream Ale",84,"good",62,-,"no score",9,3.7,11.89,1,21,0,"Maryland,United States",5.00,"Year-round"
33939_111702,"Ermal's Belgian Style Cream Ale","Warped Wing Brewing Company","/beer/profile/33939/111702/","Cream Ale",82,"good",61,-,"no score",6,3.62,13.54,1,19,1,"Ohio,United States",5.40,"Rotating"
15943_69131,"Canyon Cream Ale","Crow Peak Brewing","/beer/profile/15943/69131/","Cream Ale",72,"okay",57,-,"no score",14,2.99,16.05,1,6,0,"South Dakota,United States",5.00,"Rotating"
