29_2417,"American Amber / Red Lager"
9969_20193,"American Amber / Red Lager"
156_2294,"American Amber / Red Lager"
8325_17119,"American Amber / Red Lager"
5316_66358,"American Amber / Red Lager"
5316_73629,"American Amber / Red Lager"
22951_97342,"American Amber / Red Lager"
17948_57348,"American Amber / Red Lager"
29_111575,"American Amber / Red Lager"
10707_40888,"American Amber / Red Lager"
13667_44804,"American Amber / Red Lager"
431_62327,"American Amber / Red Lager"
6372_50762,"American Amber / Red Lager"
9629_96648,"American Amber / Red Lager"
1416_77762,"American Amber / Red Lager"
302_56521,"American Amber / Red Lager"
880_81025,"American Amber / Red Lager"
150_47413,"/beer/profile/150/47413/"
2346_7052,"American Amber / Red Lager"
3760_119690,"American Amber / Red Lager"
780_11158,"American Amber / Red Lager"
7753_55134,"American Amber / Red Lager"
14359_36100,"American Amber / Red Lager"
619_9963,"American Amber / Red Lager"
33205_104716,"American Amber / Red Lager"
beer_id,style
140_2671,"American Barleywine"
64_6533,"American Barleywine"
287_1891,"/beer/profile/287/1891/"
158_20931,"American Barleywine"
652_41300,"American Barleywine"
30_1490,"American Barleywine"
345_1009,"American Barleywine"
147_78551,"American Barleywine"
26_4810,"American Barleywine"
694_48224,"American Barleywine"
132_2965,"American Barleywine"
396_6646,"American Barleywine"
220_1579,"American Barleywine"
173_20762,"American Barleywine"
140_34129,"American Barleywine"
1416_58868,"American Barleywine"
2743_33599,"American Barleywine"
1141_14735,"American Barleywine"
1416_3840,"American Barleywine"
24940_97404,"American Barleywine"
35_74591,"American Barleywine"
130_9845,"American Barleywine"
735_10938,"American Barleywine"
458_7588,"American Barleywine"
429_35924,"American Barleywine"
141_181,"American Barleywine"
652_2837,"American Barleywine"
10485_27476,"American Barleywine"
1805_38776,"American Barleywine"
3120_25364,"American Barleywine"
266_20500,"American Barleywine"
24903_89499,"American Barleywine"
22951_93433,"American Barleywine"
7730_25489,"American Barleywine"
13307_39775,"American Barleywine"
24300_78159,"American Barleywine"
5316_21364,"American Barleywine"
396_21120,"American Barleywine"
26_34631,"American Barleywine"
158_45249,"American Barleywine"
870_2874,"American Barleywine"
1683_28817,"American Barleywine"
103_1894,"/beer/profile/103/1894/"
1924_13874,"American Barleywine"
3818_78008,"American Barleywine"
751_47476,"American Barleywine"
33_795,"American Barleywine"
16843_80279,"American Barleywine"
764_2820,"American Barleywine"
200_16439,"American Barleywine"
beer_id,style
147_38470,"American Black Ale"
2210_79286,"American Black Ale"
220_112938,"American Black Ale"
735_46070,"American Black Ale"
1199_127483,"American Black Ale"
1416_67046,"American Black Ale"
345_46385,"American Black Ale"
3818_47228,"American Black Ale"
192_74123,"American Black Ale"
22951_55019,"American Black Ale"
63_58695,"American Black Ale"
1471_3877,"American Black Ale"
590_72490,"American Black Ale"
140_113859,"American Black Ale"
119_77274,"American Black Ale"
20681_95131,"American Black Ale"
13014_114153,"American Black Ale"
8_54262,"American Black Ale"
267_63543,"American Black Ale"
898_65545,"American Black Ale"
423_87784,"American Black Ale"
22951_64750,"American Black Ale"
132_68251,"American Black Ale"
140_115015,"American Black Ale"
12985_44085,"American Black Ale"
610_71451,"American Black Ale"
25937_71256,"American Black Ale"
156_58876,"American Black Ale"
9790_80673,"American Black Ale"
764_60730,"American Black Ale"
2743_91191,"American Black Ale"
141_90575,"American Black Ale"
429_76892,"American Black Ale"
26_89830,"American Black Ale"
132_31282,"American Black Ale"
262_103285,"American Black Ale"
22511_59583,"American Black Ale"
29223_84344,"American Black Ale"
335_31431,"American Black Ale"
16315_84505,"American Black Ale"
13884_66426,"American Black Ale"
454_60469,"American Black Ale"
98_77266,"American Black Ale"
22511_77350,"American Black Ale"
2470_86195,"American Black Ale"
651_101972,"American Black Ale"
4408_54026,"American Black Ale"
9629_82298,"American Black Ale"
2372_56890,"American Black Ale"
741_65076,"/beer/profile/741/65076/"
beer_id,style
345_59987,"American Blonde Ale"
63_17984,"American Blonde Ale"
579_22592,"American Blonde Ale"
192_68008,"American Blonde Ale"
192_51991,"American Blonde Ale"
139_1120,"American Blonde Ale"
287_126807,"/beer/profile/287/126807/"
287_3811,"/beer/profile/287/3811/"
458_8695,"American Blonde Ale"
192_29675,"American Blonde Ale"
2210_81490,"American Blonde Ale"
16759_45576,"American Blonde Ale"
339_1959,"American Blonde Ale"
8_68601,"American Blonde Ale"
63_90568,"American Blonde Ale"
923_3041,"American Blonde Ale"
213_68147,"American Blonde Ale"
22511_83460,"American Blonde Ale"
689_1966,"American Blonde Ale"
18006_54770,"American Blonde Ale"
764_4585,"American Blonde Ale"
132_56758,"American Blonde Ale"
863_27057,"American Blonde Ale"
16866_96625,"American Blonde Ale"
18134_69,"American Blonde Ale"
898_58006,"American Blonde Ale"
751_4367,"American Blonde Ale"
458_82807,"American Blonde Ale"
447_876,"American Blonde Ale"
1416_50219,"American Blonde Ale"
22564_97432,"American Blonde Ale"
433_1837,"American Blonde Ale"
29_30727,"American Blonde Ale"
14400_47923,"American Blonde Ale"
132_362,"American Blonde Ale"
365_961,"American Blonde Ale"
17980_54052,"American Blonde Ale"
13947_30771,"American Blonde Ale"
1924_13873,"American Blonde Ale"
27403_83956,"American Blonde Ale"
877_9491,"American Blonde Ale"
16105_42039,"American Blonde Ale"
63_194,"American Blonde Ale"
22167_59015,"American Blonde Ale"
22150_77284,"American Blonde Ale"
478_1835,"American Blonde Ale"
7059_13523,"American Blonde Ale"
25667_69447,"American Blonde Ale"
16393_41938,"American Blonde Ale"
18854_46935,"American Blonde Ale"
beer_id,style
64_1161,"American Brown Ale"
64_33832,"American Brown Ale"
132_1339,"American Brown Ale"
140_60420,"American Brown Ale"
141_184,"American Brown Ale"
751_2296,"American Brown Ale"
45_146,"American Brown Ale"
13014_30764,"American Brown Ale"
30_2894,"American Brown Ale"
13014_28165,"American Brown Ale"
1146_1999,"American Brown Ale"
579_66449,"American Brown Ale"
3_35134,"American Brown Ale"
35_83560,"American Brown Ale"
156_117,"American Brown Ale"
335_3914,"American Brown Ale"
784_20728,"American Brown Ale"
28_66961,"American Brown Ale"
141_88200,"American Brown Ale"
9897_22257,"American Brown Ale"
9629_19685,"American Brown Ale"
156_21166,"American Brown Ale"
9790_20206,"American Brown Ale"
22951_56560,"American Brown Ale"
610_12531,"American Brown Ale"
13839_88341,"American Brown Ale"
17963_57319,"American Brown Ale"
9020_20893,"American Brown Ale"
130_46809,"American Brown Ale"
9629_54876,"American Brown Ale"
22511_74559,"American Brown Ale"
10607_22192,"American Brown Ale"
19126_49646,"American Brown Ale"
31805_69935,"American Brown Ale"
262_79424,"American Brown Ale"
30_122120,"American Brown Ale"
18006_48024,"American Brown Ale"
96_141169,"American Brown Ale"
17981_48825,"American Brown Ale"
1924_114259,"American Brown Ale"
786_56551,"American Brown Ale"
9629_37466,"American Brown Ale"
99_33399,"American Brown Ale"
13014_83416,"American Brown Ale"
1146_131943,"American Brown Ale"
287_126809,"/beer/profile/287/126809/"
13837_31412,"American Brown Ale"
306_104816,"American Brown Ale"
612_42190,"American Brown Ale"
13371_31551,"American Brown Ale"
beer_id,style
29_104855,"American Dark Wheat Ale"
689_101936,"American Dark Wheat Ale"
13884_63180,"American Dark Wheat Ale"
33_2370,"American Dark Wheat Ale"
28_133488,"American Dark Wheat Ale"
583_33514,"American Dark Wheat Ale"
28879_80732,"American Dark Wheat Ale"
16105_61138,"American Dark Wheat Ale"
461_59294,"American Dark Wheat Ale"
1416_76114,"American Dark Wheat Ale"
28879_95054,"/beer/profile/28879/95054/"
1457_98751,"American Dark Wheat Ale"
27792_77068,"American Dark Wheat Ale"
25937_74169,"American Dark Wheat Ale"
2593_36148,"American Dark Wheat Ale"
978_70802,"American Dark Wheat Ale"
1432_143759,"American Dark Wheat Ale"
28879_150522,"/beer/profile/28879/150522/"
13602_59286,"American Dark Wheat Ale"
5077_68037,"American Dark Wheat Ale"
10629_53588,"American Dark Wheat Ale"
